epoch,train_err
1,0.50225
2,0.50225
3,0.50225
4,0.50225
5,0.50225
6,0.50225
7,0.50225
8,0.50225
9,0.50225
10,0.50225
11,0.50225
12,0.50225
13,0.50225
14,0.50225
15,0.50225
16,0.502125
17,0.50175
18,0.498625
19,0.494125
20,0.47925
21,0.4795
22,0.474625
23,0.46575
24,0.464625
25,0.458375
26,0.45725
27,0.45
28,0.450375
29,0.446625
30,0.4495
31,0.4485
32,0.44625
33,0.4455
34,0.445
35,0.446875
36,0.44575
37,0.444875
38,0.444125
39,0.4445
40,0.44475
41,0.44475
42,0.449875
43,0.4435
44,0.445625
45,0.448
46,0.446625
47,0.44825
48,0.448
49,0.447625
50,0.44875
51,0.443625
52,0.442625
53,0.444875
54,0.44425
55,0.443875
56,0.443125
57,0.443375
58,0.444375
59,0.4445
60,0.444125
61,0.44
62,0.442875
63,0.442
64,0.439625
65,0.442375
66,0.442
67,0.44075
68,0.4405
69,0.44125
70,0.44175
71,0.441375
72,0.441375
73,0.439125
74,0.441625
75,0.440875
76,0.439125
77,0.43975
78,0.43775
79,0.441125
80,0.437625
81,0.43825
82,0.44025
83,0.439875
84,0.438875
85,0.439125
86,0.439625
87,0.437625
88,0.439125
89,0.439125
90,0.438875
91,0.439125
92,0.440125
93,0.43975
94,0.438875
95,0.4395
96,0.439125
97,0.439875
98,0.439875
99,0.438875
100,0.437875
101,0.438125
102,0.43725
103,0.43675
104,0.436375
105,0.436875
106,0.4375
107,0.435
108,0.436
109,0.43425
110,0.434875
111,0.4335
112,0.43425
113,0.43375
114,0.434125
115,0.43325
116,0.4325
117,0.433
118,0.432
119,0.43225
120,0.431125
121,0.433
122,0.431
123,0.429625
124,0.431375
125,0.429875
126,0.4295
127,0.429375
128,0.42775
129,0.428875
130,0.427625
131,0.428
132,0.425875
133,0.42575
134,0.42475
135,0.424125
136,0.423
137,0.4215
138,0.423
139,0.421625
140,0.420625
141,0.420125
142,0.4175
143,0.417125
144,0.416
145,0.414875
146,0.413
147,0.412875
148,0.411
149,0.40875
150,0.408375
151,0.403375
152,0.404375
153,0.402
154,0.400375
155,0.398625
156,0.396125
157,0.3945
158,0.391875
159,0.39125
160,0.389125
161,0.386375
162,0.386125
163,0.382125
164,0.377875
165,0.37975
166,0.37425
167,0.37125
168,0.37075
169,0.3665
170,0.36825
171,0.365
172,0.36125
173,0.359375
174,0.360375
175,0.35975
176,0.359375
177,0.3575
178,0.357375
179,0.35525
180,0.353
181,0.3525
182,0.35475
183,0.353125
184,0.351125
185,0.352
186,0.350625
187,0.355
188,0.3495
189,0.349
190,0.349
191,0.345875
192,0.344875
193,0.347
194,0.347125
195,0.34625
196,0.34675
197,0.343875
198,0.341
199,0.340625
200,0.34075
201,0.340375
202,0.338625
203,0.3375
204,0.3365
205,0.333
206,0.332375
207,0.335125
208,0.331625
209,0.332375
210,0.327375
211,0.333375
212,0.332625
213,0.332
214,0.32925
215,0.328375
216,0.32775
217,0.326
218,0.3265
219,0.32675
220,0.32475
221,0.322375
222,0.325
223,0.322625
224,0.3205
225,0.32
226,0.321875
227,0.318125
228,0.3175
229,0.315375
230,0.313375
231,0.314
232,0.31475
233,0.316375
234,0.313125
235,0.3125
236,0.3115
237,0.312
238,0.3145
239,0.313125
240,0.308875
241,0.309625
242,0.30725
243,0.3085
244,0.310375
245,0.30825
246,0.307375
247,0.30325
248,0.307
249,0.302875
250,0.301125
251,0.30125
252,0.303
253,0.303375
254,0.301625
255,0.3
256,0.29575
257,0.296
258,0.2975
259,0.301125
260,0.295
261,0.295625
262,0.297125
263,0.296375
264,0.296
265,0.293375
266,0.293
267,0.29125
268,0.2905
269,0.2905
270,0.288875
271,0.287
272,0.284125
273,0.287875
274,0.285125
275,0.285125
276,0.286875
277,0.284625
278,0.285875
279,0.280125
280,0.283
281,0.2785
282,0.279375
283,0.277625
284,0.278375
285,0.277125
286,0.27325
287,0.276625
288,0.273
289,0.273875
290,0.273875
291,0.271625
292,0.271125
293,0.271375
294,0.268125
295,0.26925
296,0.267625
297,0.26875
298,0.269625
299,0.263625
300,0.26575
301,0.2655
302,0.2615
303,0.2605
304,0.264875
305,0.2615
306,0.2625
307,0.25725
308,0.25725
309,0.259625
310,0.2575
311,0.262375
312,0.257375
313,0.259
314,0.2545
315,0.253
316,0.25175
317,0.260125
318,0.249
319,0.252625
320,0.24975
321,0.247
322,0.248625
323,0.25175
324,0.2545
325,0.249375
326,0.24725
327,0.250125
328,0.247
329,0.248875
330,0.249375
331,0.2455
332,0.246875
333,0.24325
334,0.242875
335,0.24525
336,0.24125
337,0.2475
338,0.243125
339,0.239375
340,0.237
341,0.239625
342,0.23725
343,0.24325
344,0.23825
345,0.24025
346,0.237375
347,0.233875
348,0.23875
349,0.239625
350,0.233375
351,0.231
352,0.2365
353,0.2375
354,0.232625
355,0.232375
356,0.231375
357,0.228125
358,0.230875
359,0.22725
360,0.230875
361,0.2265
362,0.227
363,0.226375
364,0.224875
365,0.224625
366,0.22475
367,0.22475
368,0.224125
369,0.220125
370,0.220125
371,0.22125
372,0.220625
373,0.220625
374,0.22125
375,0.217125
376,0.218125
377,0.217625
378,0.21725
379,0.21725
380,0.219
381,0.224375
382,0.213875
383,0.215625
384,0.216875
385,0.21925
386,0.208875
387,0.20925
388,0.214875
389,0.214375
390,0.211
391,0.2105
392,0.209625
393,0.218125
394,0.208375
395,0.2065
396,0.2045
397,0.20625
398,0.20475
399,0.19825
400,0.20875
